contagion_type,population_density,k_cap_mean,k_cap_sd,network_replicate,contagion_replicate,final_infected_fraction,time_to_majority,reached_majority_spread,max_slope
complex,1e-05,50,25.0,17,3,0.592,19.0,True,0.040999999999999995
complex,1e-05,50,25.0,17,4,0.544,19.0,True,0.04999999999999999
complex,1e-05,50,25.0,18,0,0.223,,False,0.043000000000000003
complex,1e-05,50,25.0,18,1,0.569,14.0,True,0.05700000000000001
complex,1e-05,50,25.0,18,2,0.736,11.0,True,0.05099999999999999
complex,1e-05,50,25.0,18,3,0.502,22.0,True,0.04
complex,1e-05,50,25.0,18,4,0.528,26.0,True,0.03900000000000001
complex,1e-05,50,25.0,19,0,0.775,15.0,True,0.05199999999999999
complex,1e-05,50,25.0,19,1,0.828,10.0,True,0.057999999999999996
complex,1e-05,50,25.0,19,2,0.393,,False,0.031
complex,1e-05,50,25.0,19,3,0.54,17.0,True,0.05399999999999999
complex,1e-05,50,25.0,19,4,0.716,10.0,True,0.065
complex,1e-05,50,25.0,20,0,0.749,13,True,0.048
complex,1e-05,50,25.0,20,1,0.591,16,True,0.04100000000000001
complex,1e-05,50,25.0,20,2,0.702,13,True,0.05499999999999999
complex,1e-05,50,25.0,20,3,0.813,8,True,0.07200000000000001
complex,1e-05,50,25.0,20,4,0.649,15,True,0.04799999999999999
complex,1e-05,50,25.0,21,0,0.297,,False,0.033
complex,1e-05,50,25.0,21,1,0.592,10.0,True,0.064
complex,1e-05,50,25.0,21,2,0.816,26.0,True,0.051000000000000004
complex,1e-05,50,25.0,21,3,0.691,14.0,True,0.051
complex,1e-05,50,25.0,21,4,0.91,12.0,True,0.05399999999999999
complex,1e-05,50,25.0,22,0,0.772,9.0,True,0.062
complex,1e-05,50,25.0,22,1,0.719,10.0,True,0.067
complex,1e-05,50,25.0,22,2,0.448,,False,0.04699999999999999
complex,1e-05,50,25.0,22,3,0.503,19.0,True,0.05200000000000002
complex,1e-05,50,25.0,22,4,0.836,10.0,True,0.067
complex,1e-05,50,25.0,23,0,0.653,17.0,True,0.043
complex,1e-05,50,25.0,23,1,0.394,,False,0.049
complex,1e-05,50,25.0,23,2,0.512,18.0,True,0.046999999999999986
complex,1e-05,50,25.0,23,3,0.38,,False,0.030999999999999993
complex,1e-05,50,25.0,23,4,0.711,17.0,True,0.047000000000000014
complex,1e-05,50,25.0,24,0,0.83,10.0,True,0.063
complex,1e-05,50,25.0,24,1,0.746,11.0,True,0.05000000000000002
complex,1e-05,50,25.0,24,2,0.452,,False,0.057999999999999996
complex,1e-05,50,25.0,24,3,0.862,9.0,True,0.06499999999999999
complex,1e-05,50,25.0,24,4,0.62,11.0,True,0.063
complex,1e-05,50,25.0,25,0,0.566,15.0,True,0.05
complex,1e-05,50,25.0,25,1,0.533,17.0,True,0.05000000000000002
complex,1e-05,50,25.0,25,2,0.749,41.0,True,0.04
complex,1e-05,50,25.0,25,3,0.844,13.0,True,0.06599999999999999
complex,1e-05,50,25.0,25,4,0.354,,False,0.035
complex,1e-05,50,25.0,26,0,0.813,10.0,True,0.05699999999999997
complex,1e-05,50,25.0,26,1,0.801,19.0,True,0.043
complex,1e-05,50,25.0,26,2,0.837,11.0,True,0.05000000000000002
complex,1e-05,50,25.0,26,3,0.299,,False,0.047
complex,1e-05,50,25.0,26,4,0.558,27.0,True,0.041999999999999996
complex,1e-05,50,25.0,27,0,0.522,17.0,True,0.06
complex,1e-05,50,25.0,27,1,0.577,23.0,True,0.049999999999999996
complex,1e-05,50,25.0,27,2,0.65,37.0,True,0.04000000000000001
complex,1e-05,50,25.0,27,3,0.806,10.0,True,0.059
complex,1e-05,50,25.0,27,4,0.395,,False,0.056
complex,1e-05,50,25.0,28,0,0.424,,False,0.054
complex,1e-05,50,25.0,28,1,0.745,8.0,True,0.06699999999999999
complex,1e-05,50,25.0,28,2,0.781,10.0,True,0.06399999999999999
complex,1e-05,50,25.0,28,3,0.678,17.0,True,0.05300000000000002
complex,1e-05,50,25.0,28,4,0.529,20.0,True,0.049000000000000016
complex,1e-05,50,25.0,29,0,0.709,20.0,True,0.03900000000000001
complex,1e-05,50,25.0,29,1,0.82,11.0,True,0.060000000000000005
complex,1e-05,50,25.0,29,2,0.374,,False,0.038000000000000006
complex,1e-05,50,25.0,29,3,0.31,,False,0.051
complex,1e-05,50,25.0,29,4,0.629,26.0,True,0.03600000000000002
complex,1e-05,50,25.0,30,0,0.58,11.0,True,0.052000000000000005
complex,1e-05,50,25.0,30,1,0.291,,False,0.036
complex,1e-05,50,25.0,30,2,0.473,,False,0.058
complex,1e-05,50,25.0,30,3,0.742,12.0,True,0.052
complex,1e-05,50,25.0,30,4,0.467,,False,0.043000000000000003
complex,1e-05,50,25.0,31,0,0.903,10.0,True,0.057
complex,1e-05,50,25.0,31,1,0.506,19.0,True,0.047000000000000014
complex,1e-05,50,25.0,31,2,0.558,13.0,True,0.07
complex,1e-05,50,25.0,31,3,0.481,,False,0.046000000000000006
complex,1e-05,50,25.0,31,4,0.394,,False,0.061
complex,1e-05,50,25.0,32,0,0.358,,False,0.059000000000000004
complex,1e-05,50,25.0,32,1,0.846,11.0,True,0.05499999999999999
complex,1e-05,50,25.0,32,2,0.423,,False,0.04000000000000001
complex,1e-05,50,25.0,32,3,0.694,12.0,True,0.066
complex,1e-05,50,25.0,32,4,0.636,12.0,True,0.051000000000000045
complex,1e-05,50,25.0,33,0,0.847,11.0,True,0.04899999999999999
complex,1e-05,50,25.0,33,1,0.784,15.0,True,0.062
complex,1e-05,50,25.0,33,2,0.797,11.0,True,0.05400000000000002
complex,1e-05,50,25.0,33,3,0.663,14.0,True,0.048
complex,1e-05,50,25.0,33,4,0.317,,False,0.044
complex,1e-05,50,25.0,34,0,0.755,9,True,0.061
complex,1e-05,50,25.0,34,1,0.524,22,True,0.04500000000000001
complex,1e-05,50,25.0,34,2,0.587,34,True,0.045
complex,1e-05,50,25.0,34,3,0.738,12,True,0.05700000000000001
complex,1e-05,50,25.0,34,4,0.803,14,True,0.052
complex,1e-05,50,25.0,35,0,0.713,12.0,True,0.062
complex,1e-05,50,25.0,35,1,0.598,11.0,True,0.063
complex,1e-05,50,25.0,35,2,0.451,,False,0.045000000000000005
complex,1e-05,50,25.0,35,3,0.181,,False,0.031
complex,1e-05,50,25.0,35,4,0.886,11.0,True,0.05399999999999999
complex,1e-05,50,25.0,36,0,0.159,,False,0.030000000000000006
complex,1e-05,50,25.0,36,1,0.766,11.0,True,0.05600000000000005
complex,1e-05,50,25.0,36,2,0.68,10.0,True,0.07300000000000001
complex,1e-05,50,25.0,36,3,0.395,,False,0.028999999999999998
complex,1e-05,50,25.0,36,4,0.7,11.0,True,0.056
complex,1e-05,50,25.0,37,0,0.519,14.0,True,0.053000000000000005
complex,1e-05,50,25.0,37,1,0.586,15.0,True,0.05299999999999999
complex,1e-05,50,25.0,37,2,0.795,13.0,True,0.063
complex,1e-05,50,25.0,37,3,0.351,,False,0.039999999999999994
complex,1e-05,50,25.0,37,4,0.436,,False,0.04799999999999999
complex,1e-05,50,25.0,38,0,0.827,18,True,0.048000000000000015
complex,1e-05,50,25.0,38,1,0.548,20,True,0.04900000000000001
complex,1e-05,50,25.0,38,2,0.744,19,True,0.058
complex,1e-05,50,25.0,38,3,0.685,17,True,0.04200000000000001
complex,1e-05,50,25.0,38,4,0.87,10,True,0.054
complex,1e-05,50,25.0,39,0,0.938,10.0,True,0.056
complex,1e-05,50,25.0,39,1,0.637,13.0,True,0.060999999999999985
complex,1e-05,50,25.0,39,2,0.345,,False,0.043000000000000003
complex,1e-05,50,25.0,39,3,0.454,,False,0.042
complex,1e-05,50,25.0,39,4,0.713,14.0,True,0.06499999999999999
complex,1e-05,50,25.0,40,0,0.58,13,True,0.06200000000000001
complex,1e-05,50,25.0,40,1,0.521,13,True,0.056999999999999995
complex,1e-05,50,25.0,40,2,0.738,12,True,0.051
complex,1e-05,50,25.0,40,3,0.592,18,True,0.05200000000000002
complex,1e-05,50,25.0,40,4,0.869,8,True,0.06499999999999997
complex,1e-05,50,25.0,41,0,0.319,,False,0.034999999999999996
complex,1e-05,50,25.0,41,1,0.591,10.0,True,0.061000000000000006
complex,1e-05,50,25.0,41,2,0.611,20.0,True,0.054
complex,1e-05,50,25.0,41,3,0.352,,False,0.055
complex,1e-05,50,25.0,41,4,0.706,10.0,True,0.059
complex,1e-05,50,25.0,42,0,0.835,14.0,True,0.066
complex,1e-05,50,25.0,42,1,0.585,19.0,True,0.054000000000000006
complex,1e-05,50,25.0,42,2,0.562,10.0,True,0.068
complex,1e-05,50,25.0,42,3,0.486,,False,0.042
complex,1e-05,50,25.0,42,4,0.598,20.0,True,0.04100000000000001
complex,1e-05,50,25.0,43,0,0.857,10.0,True,0.059000000000000025
complex,1e-05,50,25.0,43,1,0.927,7.0,True,0.068
complex,1e-05,50,25.0,43,2,0.478,,False,0.049
complex,1e-05,50,25.0,43,3,0.922,11.0,True,0.05299999999999999
complex,1e-05,50,25.0,43,4,0.588,16.0,True,0.059
complex,1e-05,50,25.0,44,0,0.473,,False,0.044000000000000004
complex,1e-05,50,25.0,44,1,0.242,,False,0.040999999999999995
complex,1e-05,50,25.0,44,2,0.356,,False,0.036
complex,1e-05,50,25.0,44,3,0.753,15.0,True,0.047
complex,1e-05,50,25.0,44,4,0.616,16.0,True,0.040999999999999995
complex,1e-05,50,25.0,45,0,0.8,11,True,0.065
complex,1e-05,50,25.0,45,1,0.567,26,True,0.034
complex,1e-05,50,25.0,45,2,0.714,11,True,0.05700000000000002
complex,1e-05,50,25.0,45,3,0.749,12,True,0.059000000000000004
complex,1e-05,50,25.0,45,4,0.52,22,True,0.04800000000000001
complex,1e-05,50,25.0,46,0,0.626,14.0,True,0.062
complex,1e-05,50,25.0,46,1,0.484,,False,0.04700000000000001
complex,1e-05,50,25.0,46,2,0.504,28.0,True,0.053
complex,1e-05,50,25.0,46,3,0.628,10.0,True,0.07
complex,1e-05,50,25.0,46,4,0.355,,False,0.048
complex,1e-05,50,25.0,47,0,0.734,11,True,0.054999999999999966
complex,1e-05,50,25.0,47,1,0.76,9,True,0.07
complex,1e-05,50,25.0,47,2,0.574,15,True,0.068
complex,1e-05,50,25.0,47,3,0.608,16,True,0.051
complex,1e-05,50,25.0,47,4,0.714,11,True,0.05499999999999999
complex,1e-05,50,25.0,48,0,0.65,10,True,0.065
complex,1e-05,50,25.0,48,1,0.585,13,True,0.05600000000000001
complex,1e-05,50,25.0,48,2,0.71,19,True,0.058
complex,1e-05,50,25.0,48,3,0.835,9,True,0.07400000000000001
complex,1e-05,50,25.0,48,4,0.851,7,True,0.07599999999999998
complex,1e-05,50,25.0,49,0,0.687,16.0,True,0.04600000000000001
complex,1e-05,50,25.0,49,1,0.604,15.0,True,0.068
complex,1e-05,50,25.0,49,2,0.349,,False,0.038000000000000006
complex,1e-05,50,25.0,49,3,0.35,,False,0.066
complex,1e-05,50,25.0,49,4,0.36,,False,0.040999999999999995
complex,3.1622776601683795e-05,50,25.0,0,0,0.595,12.0,True,0.065
complex,3.1622776601683795e-05,50,25.0,0,1,0.661,34.0,True,0.043
complex,3.1622776601683795e-05,50,25.0,0,2,0.471,,False,0.056
complex,3.1622776601683795e-05,50,25.0,0,3,0.892,12.0,True,0.04899999999999999
complex,3.1622776601683795e-05,50,25.0,0,4,0.76,18.0,True,0.05100000000000002
complex,3.1622776601683795e-05,50,25.0,1,0,0.438,,False,0.04699999999999999
complex,3.1622776601683795e-05,50,25.0,1,1,0.476,,False,0.048
complex,3.1622776601683795e-05,50,25.0,1,2,0.329,,False,0.036000000000000004
complex,3.1622776601683795e-05,50,25.0,1,3,0.342,,False,0.03
complex,3.1622776601683795e-05,50,25.0,1,4,0.926,7.0,True,0.08499999999999999
complex,3.1622776601683795e-05,50,25.0,2,0,0.736,12.0,True,0.06200000000000003
complex,3.1622776601683795e-05,50,25.0,2,1,0.813,14.0,True,0.044999999999999984
complex,3.1622776601683795e-05,50,25.0,2,2,0.341,,False,0.031000000000000007
complex,3.1622776601683795e-05,50,25.0,2,3,0.568,14.0,True,0.06100000000000001
complex,3.1622776601683795e-05,50,25.0,2,4,0.727,9.0,True,0.07300000000000001
complex,3.1622776601683795e-05,50,25.0,3,0,0.345,,False,0.033
complex,3.1622776601683795e-05,50,25.0,3,1,0.824,19.0,True,0.054000000000000006
complex,3.1622776601683795e-05,50,25.0,3,2,0.734,13.0,True,0.049
complex,3.1622776601683795e-05,50,25.0,3,3,0.338,,False,0.035
complex,3.1622776601683795e-05,50,25.0,3,4,0.548,20.0,True,0.038000000000000006
complex,3.1622776601683795e-05,50,25.0,4,0,0.377,,False,0.05
complex,3.1622776601683795e-05,50,25.0,4,1,0.391,,False,0.037
complex,3.1622776601683795e-05,50,25.0,4,2,0.866,14.0,True,0.04300000000000001
complex,3.1622776601683795e-05,50,25.0,4,3,0.34,,False,0.04500000000000001
complex,3.1622776601683795e-05,50,25.0,4,4,0.68,13.0,True,0.047000000000000014
complex,3.1622776601683795e-05,50,25.0,5,0,0.461,,False,0.044
complex,3.1622776601683795e-05,50,25.0,5,1,0.654,14.0,True,0.046000000000000006
complex,3.1622776601683795e-05,50,25.0,5,2,0.722,24.0,True,0.03900000000000001
complex,3.1622776601683795e-05,50,25.0,5,3,0.616,16.0,True,0.041999999999999996
complex,3.1622776601683795e-05,50,25.0,5,4,0.887,14.0,True,0.04600000000000004
complex,3.1622776601683795e-05,50,25.0,6,0,0.728,15.0,True,0.05500000000000001
complex,3.1622776601683795e-05,50,25.0,6,1,0.612,17.0,True,0.037000000000000005
complex,3.1622776601683795e-05,50,25.0,6,2,0.379,,False,0.045
complex,3.1622776601683795e-05,50,25.0,6,3,0.738,11.0,True,0.053000000000000005
complex,3.1622776601683795e-05,50,25.0,6,4,0.344,,False,0.06000000000000001
complex,3.1622776601683795e-05,50,25.0,7,0,0.874,12,True,0.05600000000000001
complex,3.1622776601683795e-05,50,25.0,7,1,0.607,35,True,0.046999999999999986
complex,3.1622776601683795e-05,50,25.0,7,2,0.521,16,True,0.05800000000000001
complex,3.1622776601683795e-05,50,25.0,7,3,0.704,11,True,0.06200000000000001
complex,3.1622776601683795e-05,50,25.0,7,4,0.631,21,True,0.048000000000000015
complex,3.1622776601683795e-05,50,25.0,8,0,0.597,13.0,True,0.060000000000000026
complex,3.1622776601683795e-05,50,25.0,8,1,0.668,29.0,True,0.043
complex,3.1622776601683795e-05,50,25.0,8,2,0.386,,False,0.04900000000000001
complex,3.1622776601683795e-05,50,25.0,8,3,0.759,12.0,True,0.058
complex,3.1622776601683795e-05,50,25.0,8,4,0.83,10.0,True,0.063
complex,3.1622776601683795e-05,50,25.0,9,0,0.674,8.0,True,0.07200000000000001
complex,3.1622776601683795e-05,50,25.0,9,1,0.592,12.0,True,0.05500000000000002
complex,3.1622776601683795e-05,50,25.0,9,2,0.268,,False,0.037000000000000005
complex,3.1622776601683795e-05,50,25.0,9,3,0.889,17.0,True,0.05099999999999999
complex,3.1622776601683795e-05,50,25.0,9,4,0.928,12.0,True,0.061000000000000054
complex,3.1622776601683795e-05,50,25.0,10,0,0.566,14.0,True,0.056
complex,3.1622776601683795e-05,50,25.0,10,1,0.901,10.0,True,0.063
complex,3.1622776601683795e-05,50,25.0,10,2,0.496,,False,0.05
complex,3.1622776601683795e-05,50,25.0,10,3,0.57,11.0,True,0.062
complex,3.1622776601683795e-05,50,25.0,10,4,0.779,9.0,True,0.064
complex,3.1622776601683795e-05,50,25.0,11,0,0.481,,False,0.06
complex,3.1622776601683795e-05,50,25.0,11,1,0.572,21.0,True,0.04799999999999999
complex,3.1622776601683795e-05,50,25.0,11,2,0.708,13.0,True,0.048
complex,3.1622776601683795e-05,50,25.0,11,3,0.565,13.0,True,0.06200000000000003
complex,3.1622776601683795e-05,50,25.0,11,4,0.508,34.0,True,0.046
complex,3.1622776601683795e-05,50,25.0,12,0,0.621,27.0,True,0.053000000000000005
complex,3.1622776601683795e-05,50,25.0,12,1,0.603,11.0,True,0.060000000000000005
complex,3.1622776601683795e-05,50,25.0,12,2,0.659,23.0,True,0.033
complex,3.1622776601683795e-05,50,25.0,12,3,0.336,,False,0.038
complex,3.1622776601683795e-05,50,25.0,12,4,0.603,10.0,True,0.065
complex,3.1622776601683795e-05,50,25.0,13,0,0.621,18.0,True,0.066
complex,3.1622776601683795e-05,50,25.0,13,1,0.382,,False,0.05399999999999999
complex,3.1622776601683795e-05,50,25.0,13,2,0.27,,False,0.04200000000000001
complex,3.1622776601683795e-05,50,25.0,13,3,0.527,33.0,True,0.045000000000000005
complex,3.1622776601683795e-05,50,25.0,13,4,0.488,,False,0.051
complex,3.1622776601683795e-05,50,25.0,14,0,0.619,15,True,0.06300000000000001
complex,3.1622776601683795e-05,50,25.0,14,1,0.753,17,True,0.048000000000000015
complex,3.1622776601683795e-05,50,25.0,14,2,0.664,10,True,0.059
complex,3.1622776601683795e-05,50,25.0,14,3,0.762,12,True,0.049
complex,3.1622776601683795e-05,50,25.0,14,4,0.831,18,True,0.046
complex,3.1622776601683795e-05,50,25.0,15,0,0.561,17,True,0.048000000000000015
complex,3.1622776601683795e-05,50,25.0,15,1,0.634,26,True,0.048
complex,3.1622776601683795e-05,50,25.0,15,2,0.631,10,True,0.06399999999999999
complex,3.1622776601683795e-05,50,25.0,15,3,0.718,15,True,0.041000000000000036
complex,3.1622776601683795e-05,50,25.0,15,4,0.614,24,True,0.030000000000000006
complex,3.1622776601683795e-05,50,25.0,16,0,0.235,,False,0.034999999999999996
complex,3.1622776601683795e-05,50,25.0,16,1,0.513,33.0,True,0.037
complex,3.1622776601683795e-05,50,25.0,16,2,0.707,13.0,True,0.05500000000000001
complex,3.1622776601683795e-05,50,25.0,16,3,0.599,12.0,True,0.061000000000000006
complex,3.1622776601683795e-05,50,25.0,16,4,0.609,15.0,True,0.054000000000000006
complex,3.1622776601683795e-05,50,25.0,17,0,0.718,11.0,True,0.057999999999999996
complex,3.1622776601683795e-05,50,25.0,17,1,0.341,,False,0.041999999999999996
complex,3.1622776601683795e-05,50,25.0,17,2,0.451,,False,0.04899999999999999
complex,3.1622776601683795e-05,50,25.0,17,3,0.915,8.0,True,0.07
complex,3.1622776601683795e-05,50,25.0,17,4,0.572,13.0,True,0.04500000000000001
complex,3.1622776601683795e-05,50,25.0,18,0,0.781,7,True,0.07800000000000001
complex,3.1622776601683795e-05,50,25.0,18,1,0.938,10,True,0.06400000000000002
complex,3.1622776601683795e-05,50,25.0,18,2,0.731,11,True,0.067
complex,3.1622776601683795e-05,50,25.0,18,3,0.906,12,True,0.052000000000000046
complex,3.1622776601683795e-05,50,25.0,18,4,0.816,11,True,0.055
complex,3.1622776601683795e-05,50,25.0,19,0,0.532,34.0,True,0.051000000000000004
complex,3.1622776601683795e-05,50,25.0,19,1,0.643,21.0,True,0.045
complex,3.1622776601683795e-05,50,25.0,19,2,0.609,23.0,True,0.059000000000000004
complex,3.1622776601683795e-05,50,25.0,19,3,0.439,,False,0.04400000000000001
complex,3.1622776601683795e-05,50,25.0,19,4,0.462,,False,0.044000000000000004
complex,3.1622776601683795e-05,50,25.0,20,0,0.417,,False,0.037000000000000005
complex,3.1622776601683795e-05,50,25.0,20,1,0.72,9.0,True,0.07700000000000001
complex,3.1622776601683795e-05,50,25.0,20,2,0.519,15.0,True,0.055
complex,3.1622776601683795e-05,50,25.0,20,3,0.651,12.0,True,0.06500000000000002
complex,3.1622776601683795e-05,50,25.0,20,4,0.61,19.0,True,0.037
complex,3.1622776601683795e-05,50,25.0,21,0,0.344,,False,0.04
complex,3.1622776601683795e-05,50,25.0,21,1,0.502,29.0,True,0.05600000000000001
complex,3.1622776601683795e-05,50,25.0,21,2,0.801,9.0,True,0.060000000000000026
complex,3.1622776601683795e-05,50,25.0,21,3,0.53,20.0,True,0.055999999999999994
complex,3.1622776601683795e-05,50,25.0,21,4,0.777,17.0,True,0.04600000000000001
complex,3.1622776601683795e-05,50,25.0,22,0,0.287,,False,0.032
complex,3.1622776601683795e-05,50,25.0,22,1,0.764,16.0,True,0.049000000000000016
complex,3.1622776601683795e-05,50,25.0,22,2,0.736,10.0,True,0.068
complex,3.1622776601683795e-05,50,25.0,22,3,0.242,,False,0.038
complex,3.1622776601683795e-05,50,25.0,22,4,0.352,,False,0.051000000000000004
complex,3.1622776601683795e-05,50,25.0,23,0,0.476,,False,0.045
complex,3.1622776601683795e-05,50,25.0,23,1,0.716,17.0,True,0.044
complex,3.1622776601683795e-05,50,25.0,23,2,0.506,29.0,True,0.039
complex,3.1622776601683795e-05,50,25.0,23,3,0.376,,False,0.043
complex,3.1622776601683795e-05,50,25.0,23,4,0.551,12.0,True,0.060000000000000005
complex,3.1622776601683795e-05,50,25.0,24,0,0.901,10.0,True,0.05300000000000005
complex,3.1622776601683795e-05,50,25.0,24,1,0.664,15.0,True,0.07400000000000001
complex,3.1622776601683795e-05,50,25.0,24,2,0.698,8.0,True,0.063
complex,3.1622776601683795e-05,50,25.0,24,3,0.53,29.0,True,0.045
complex,3.1622776601683795e-05,50,25.0,24,4,0.357,,False,0.049
complex,3.1622776601683795e-05,50,25.0,25,0,0.824,14.0,True,0.05900000000000005
complex,3.1622776601683795e-05,50,25.0,25,1,0.566,36.0,True,0.041999999999999996
complex,3.1622776601683795e-05,50,25.0,25,2,0.739,11.0,True,0.055
complex,3.1622776601683795e-05,50,25.0,25,3,0.468,,False,0.045
complex,3.1622776601683795e-05,50,25.0,25,4,0.758,14.0,True,0.050000000000000044
complex,3.1622776601683795e-05,50,25.0,26,0,0.904,10.0,True,0.05500000000000005
complex,3.1622776601683795e-05,50,25.0,26,1,0.835,13.0,True,0.047
